Key,File,Type,UsedInMainMenu,NoTranslate,english,Context / Alternate Text,german,spanish,french,italian,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ammoBundleEftUranium4630mmHK,,,,,Uranium 4.6x30mm HK Bundle,,,,,,,,,,,,,鈾 4.6x30mm HK 束
ammoBundleEftUranium4630mmHKDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 4.6x30mm HK ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF]4.6x30mm HK彈藥。
ammoEftIncendiary4630mmHK,,,,,Incendiary 4.6x30mm HK,,,,,,,,,,,,,燃燒彈 4.6x30mm HK
ammoEftIncendiary4630mmHKDesc,,,,,[FF6600]Incendiary 4.6x30mm HK ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 4.6x30mm HK 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary4630mmHK,,,,,Incendiary 4.6x30mm HK Bundle,,,,,,,,,,,,,燃燒彈 4.6x30mm HK 捆綁包
ammoBundleEftIncendiary4630mmHKDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 4.6x30mm HK ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF]4.6x30mm HK彈藥。
ammoEftUranium4630mmHKAP,,,,,Uranium 4.6x30mm HK AP,,,,,,,,,,,,,鈾 4.6x30mm HK AP
ammoEftUranium4630mmHKAPDesc,,,,,[66FF66]Uranium-tipped 4.6x30mm HK AP ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾頭 4.6x30mm HK AP 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium4630mmHKAP,,,,,Uranium 4.6x30mm HK AP Bundle,,,,,,,,,,,,,鈾 4.6x30mm HK AP 捆綁包
ammoBundleEftUranium4630mmHKAPDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 4.6x30mm HK AP ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF]4.6x30mm HK AP彈藥。
ammoEftIncendiary4630mmHKAP,,,,,Incendiary 4.6x30mm HK AP,,,,,,,,,,,,,燃燒彈 4.6x30mm HK AP
ammoEftIncendiary4630mmHKAPDesc,,,,,[FF6600]Incendiary 4.6x30mm HK AP ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 4.6x30mm HK AP 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary4630mmHKAP,,,,,Incendiary 4.6x30mm HK AP Bundle,,,,,,,,,,,,,燃燒彈 4.6x30mm HK AP 套裝
ammoBundleEftIncendiary4630mmHKAPDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 4.6x30mm HK AP ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF]4.6x30mm HK AP彈藥。
ammoEftUranium4630mmHKHP,,,,,Uranium 4.6x30mm HK HP,,,,,,,,,,,,,鈾 4.6x30mm HK HP
ammoEftUranium4630mmHKHPDesc,,,,,[66FF66]Uranium-tipped 4.6x30mm HK HP ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾尖 4.6x30mm HK HP 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium4630mmHKHP,,,,,Uranium 4.6x30mm HK HP Bundle,,,,,,,,,,,,,鈾 4.6x30mm HK HP 套裝
ammoBundleEftUranium4630mmHKHPDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 4.6x30mm HK HP ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF]4.6x30mm HK HP彈藥。
ammoEftIncendiary4630mmHKHP,,,,,Incendiary 4.6x30mm HK HP,,,,,,,,,,,,,燃燒彈 4.6x30mm HK HP
ammoEftIncendiary4630mmHKHPDesc,,,,,[FF6600]Incendiary 4.6x30mm HK HP ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 4.6x30mm HK HP 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary4630mmHKHP,,,,,Incendiary 4.6x30mm HK HP Bundle,,,,,,,,,,,,,燃燒彈 4.6x30mm HK HP 套裝
ammoBundleEftIncendiary4630mmHKHPDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 4.6x30mm HK HP ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒[FFFFFF]4.6x30mm HK HP彈藥。
ammoEftUranium5728FN,,,,,Uranium 5.7x28mm FN,,,,,,,,,,,,,鈾 5.7x28mm FN
ammoEftUranium5728FNDesc,,,,,[66FF66]Uranium-tipped 5.7x28mm FN ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾頭 5.7x28mm FN 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium5728FN,,,,,Uranium 5.7x28mm FN Bundle,,,,,,,,,,,,,鈾 5.7x28mm FN 捆綁包
ammoBundleEftUranium5728FNDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 5.7x28mm FN ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF]5.7x28mm FN彈藥。
ammoEftIncendiary5728FN,,,,,Incendiary 5.7x28mm FN,,,,,,,,,,,,,燃燒彈 5.7x28mm FN
ammoEftIncendiary5728FNDesc,,,,,[FF6600]Incendiary 5.7x28mm FN ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 5.7x28mm FN 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary5728FN,,,,,Incendiary 5.7x28mm FN Bundle,,,,,,,,,,,,,燃燒彈 5.7x28mm FN 捆綁包
ammoBundleEftIncendiary5728FNDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 5.7x28mm FN ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF]5.7x28mm FN彈藥。
ammoEftUranium5728FNAP,,,,,Uranium 5.7x28mm FN AP,,,,,,,,,,,,,鈾 5.7x28mm FN AP
ammoEftUranium5728FNAPDesc,,,,,[66FF66]Uranium-tipped 5.7x28mm FN AP ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾尖 5.7x28mm FN AP 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium5728FNAP,,,,,Uranium 5.7x28mm FN AP Bundle,,,,,,,,,,,,,鈾 5.7x28mm FN AP 捆綁包
ammoBundleEftUranium5728FNAPDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 5.7x28mm FN AP ammunition.,,,,,,,,,,,,,一束[66FF66]鈾頭[FFFFFF]5.7x28mm FN AP彈藥。
ammoEftIncendiary5728FNAP,,,,,Incendiary 5.7x28mm FN AP,,,,,,,,,,,,,燃燒彈 5.7x28mm FN AP
ammoEftIncendiary5728FNAPDesc,,,,,[FF6600]Incendiary 5.7x28mm FN AP ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 5.7x28mm FN AP 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary5728FNAP,,,,,Incendiary 5.7x28mm FN AP Bundle,,,,,,,,,,,,,燃燒彈 5.7x28mm FN AP 捆綁包
ammoBundleEftIncendiary5728FNAPDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 5.7x28mm FN AP ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF]5.7x28mm FN AP彈藥。
ammoEftUranium5728FNHP,,,,,Uranium 5.7x28mm FN HP,,,,,,,,,,,,,鈾 5.7x28mm FN HP
ammoEftUranium5728FNHPDesc,,,,,[66FF66]Uranium-tipped 5.7x28mm FN HP ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾尖 5.7x28mm FN HP 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium5728FNHP,,,,,Uranium 5.7x28mm FN HP Bundle,,,,,,,,,,,,,鈾 5.7x28mm FN HP 捆綁包
ammoBundleEftUranium5728FNHPDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 5.7x28mm FN HP ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF]5.7x28mm FN HP彈藥。
ammoEftIncendiary5728FNHP,,,,,Incendiary 5.7x28mm FN HP,,,,,,,,,,,,,燃燒彈 5.7x28mm FN HP
ammoEftIncendiary5728FNHPDesc,,,,,[FF6600]Incendiary 5.7x28mm FN HP ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 5.7x28mm FN HP 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary5728FNHP,,,,,Incendiary 5.7x28mm FN HP Bundle,,,,,,,,,,,,,燃燒彈 5.7x28mm FN HP 套裝
ammoBundleEftIncendiary5728FNHPDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 5.7x28mm FN HP ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF]5.7x28mm FN HP彈藥。
ammoEftUranium50ae,,,,,Uranium .50 AE,,,,,,,,,,,,,鈾.50 AE
ammoEftUranium50aeDesc,,,,,[66FF66]Uranium-tipped .50 AE ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾頭 0.50 AE 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium50ae,,,,,Uranium .50 AE Bundle,,,,,,,,,,,,,鈾 .50 AE 捆綁包
ammoBundleEftUranium50aeDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] .50 AE ammunition.,,,,,,,,,,,,,一束[66FF66]鈾頭[FFFFFF].50 AE彈藥。
ammoEftIncendiary50ae,,,,,Incendiary .50 AE,,,,,,,,,,,,,燃燒彈 .50 AE
ammoEftIncendiary50aeDesc,,,,,[FF6600]Incendiary .50 AE ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 0.50 AE 彈藥 [FFFFFF] 裝填有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary50ae,,,,,Incendiary .50 AE Bundle,,,,,,,,,,,,,燃燒彈 .50 AE 捆綁包
ammoBundleEftIncendiary50aeDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] .50 AE ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF].50 AE彈藥。
ammoEftUranium50aeHP,,,,,Uranium .50 AE HP,,,,,,,,,,,,,鈾.50 AE HP
ammoEftUranium50aeHPDesc,,,,,[66FF66]Uranium-tipped .50 AE HP ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾頭 0.50 AE HP 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium50aeHP,,,,,Uranium .50 AE HP Bundle,,,,,,,,,,,,,鈾 .50 AE HP 捆綁包
ammoBundleEftUranium50aeHPDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] .50 AE HP ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF] .50 AE HP彈藥。
ammoEftIncendiary50aeHP,,,,,Incendiary .50 AE HP,,,,,,,,,,,,,燃燒彈 .50 AE HP
ammoEftIncendiary50aeHPDesc,,,,,[FF6600]Incendiary .50 AE HP ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 0.50 AE HP 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈凝膠 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary50aeHP,,,,,Incendiary .50 AE HP Bundle,,,,,,,,,,,,,燃燒彈 .50 AE HP 套裝
ammoBundleEftIncendiary50aeHPDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] .50 AE HP ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF].50 AE HP彈藥。
ammoEftUranium76225mmTokarev,,,,,Uranium 7.62x25mm Tokarev,,,,,,,,,,,,,鈾 7.62x25mm 託卡列夫
ammoEftUranium76225mmTokarevDesc,,,,,[66FF66]Uranium-tipped 7.62x25mm Tokarev ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾頭 7.62x25mm 託卡列夫彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium76225mmTokarev,,,,,Uranium 7.62x25mm Tokarev Bundle,,,,,,,,,,,,,鈾 7.62x25mm 託卡列夫束
ammoBundleEftUranium76225mmTokarevDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 7.62x25mm Tokarev ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF]7.62x25毫米託卡列夫彈藥。
ammoEftIncendiary76225mmTokarev,,,,,Incendiary 7.62x25mm Tokarev,,,,,,,,,,,,,燃燒彈 7.62x25mm 託卡列夫
ammoEftIncendiary76225mmTokarevDesc,,,,,[FF6600]Incendiary 7.62x25mm Tokarev ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 7.62x25mm 託卡列夫彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary76225mmTokarev,,,,,Incendiary 7.62x25mm Tokarev Bundle,,,,,,,,,,,,,燃燒彈 7.62x25mm 託卡列夫套裝
ammoBundleEftIncendiary76225mmTokarevDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 7.62x25mm Tokarev ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF]7.62x25mm託卡列夫彈藥。
ammoEftUranium918mmPM,,,,,Uranium 9x18mm PM,,,,,,,,,,,,,鈾 9x18mm 粉末
ammoEftUranium918mmPMDesc,,,,,[66FF66]Uranium-tipped 9x18mm PM ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾頭 9x18mm PM 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium918mmPM,,,,,Uranium 9x18mm PM Bundle,,,,,,,,,,,,,鈾 9x18mm 粉末冶金束
ammoBundleEftUranium918mmPMDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 9x18mm PM ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF] 9x18mm PM彈藥。
ammoEftIncendiary918mmPM,,,,,Incendiary 9x18mm PM,,,,,,,,,,,,,燃燒彈 9x18mm PM
ammoEftIncendiary918mmPMDesc,,,,,[FF6600]Incendiary 9x18mm PM ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 9x18mm PM 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary918mmPM,,,,,Incendiary 9x18mm PM Bundle,,,,,,,,,,,,,燃燒彈 9x18mm PM 捆綁包
ammoBundleEftIncendiary918mmPMDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 9x18mm PM ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF]9x18mm PM彈藥。
ammoEftUranium7mmShotgun,,,,,Uranium 12ga 7mm Buck,,,,,,,,,,,,,鈾 12ga 7mm 降壓
ammoEftUranium7mmShotgunDesc,,,,,[66FF66]Uranium-tipped 12ga 7mm Buck ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾尖 12ga 7mm Buck 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium7mmShotgun,,,,,Uranium 12ga 7mm Buck Bundle,,,,,,,,,,,,,Uranium 12ga 7mm 降壓包
ammoBundleEftUranium7mmShotgunDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 12ga 7mm Buck ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF]12ga 7毫米巴克彈藥。
ammoEftIncendiary7mmShotgun,,,,,Incendiary 12ga 7mm Buck,,,,,,,,,,,,,燃燒彈 12ga 7mm Buck
ammoEftIncendiary7mmShotgunDesc,,,,,[FF6600]Incendiary 12ga 7mm Buck ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 12ga 7mm Buck 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary7mmShotgun,,,,,Incendiary 12ga 7mm Buck Bundle,,,,,,,,,,,,,燃燒彈 12ga 7mm Buck 捆綁包
ammoBundleEftIncendiary7mmShotgunDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 12ga 7mm Buck ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF]12ga 7mm Buck彈藥。
ammoEftUranium20GBuck,,,,,Uranium 20ga Buck,,,,,,,,,,,,,鈾20ga降血壓
ammoEftUranium20GBuckDesc,,,,,[66FF66]Uranium-tipped 20ga Buck ammunition[FFFFFF] with [FF4500]enhanced damage (+35%)[FFFFFF] and [66FF66]radiation poisoning[FFFFFF]. Causes [FF6B6B]continuous damage[FFFFFF],,,,,,,,,,,,,[66FF66] 鈾頭 20ga Buck 彈藥 [FFFFFF] 具有 [FF4500] 增強傷害 (+35%) [FFFFFF] 和 [66FF66] 輻射中毒 [FFFFFF] 。造成[FF6B6B]持續傷害[FFFFFF]
ammoBundleEftUranium20GBuck,,,,,Uranium 20ga Buck Bundle,,,,,,,,,,,,,鈾 20ga 降壓包
ammoBundleEftUranium20GBuckDesc,,,,,A bundle of [66FF66]uranium-tipped[FFFFFF] 20ga Buck ammunition.,,,,,,,,,,,,,一捆[66FF66]鈾頭[FFFFFF]20ga巴克彈藥。
ammoEftIncendiary20GBuck,,,,,Incendiary 20ga Buck,,,,,,,,,,,,,燃燒彈 20ga Buck
ammoEftIncendiary20GBuckDesc,,,,,[FF6600]Incendiary 20ga Buck ammunition[FFFFFF] loaded with [FF4500]napalm gel[FFFFFF]. [FF0000]Sets targets on fire[FFFFFF] causing [FF6600]burning damage over time[FFFFFF]. Slightly [FFA500]reduced base damage (-25%)[FFFFFF] but [FF4500]devastating sustained damage[FFFFFF]. [00FFFF]Ineffective underwater[FFFFFF].,,,,,,,,,,,,,[FF6600] 燃燒彈 20ga Buck 彈藥 [FFFFFF] 裝有 [FF4500] 凝固汽油彈 [FFFFFF] 。 [FF0000]使目標起火[FFFFFF]造成[FF6600]持續燃燒傷害[FFFFFF]。 [FFA500]稍微降低基礎傷害（-25%）[FFFFFF]但[FF4500]毀滅性的持續傷害[FFFFFF]。 [00FFFF]水下無效[FFFFFF]。
ammoBundleEftIncendiary20GBuck,,,,,Incendiary 20ga Buck Bundle,,,,,,,,,,,,,燃燒彈 20ga Buck 套裝包
ammoBundleEftIncendiary20GBuckDesc,,,,,A bundle of [FF6600]incendiary[FFFFFF] 20ga Buck ammunition.,,,,,,,,,,,,,一捆[FF6600]燃燒彈[FFFFFF]20ga巴克彈藥。
ammoEftUraniumFlechetteShotgun,,,,,Uranium 12ga Flechette,,,,,,,,,,,,,鈾 12ga 箭彈
